messages,metadata
"[{'role': 'user', 'content': ""Where is my package right now? Order #8942 hasn't updated in tracking for three days.""}
 {'role': 'assistant', 'content': ""Let me pull up order #8942 for you. I can see the last scan was three days ago at the regional sorting facility. That's longer than normal — usually scans resume within 48 hours. I'm opening an inquiry with the carrier right now so we don't have to wait any longer. I'll email you the inquiry reference number within the hour, and you should get a status update from the carrier within one business day. If they don't respond by tomorrow evening, I'll escalate it myself.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'When will the courier bring my order? The delivery date on the site was yesterday, but no one came.'}
 {'role': 'assistant', 'content': ""That's frustrating, I'm sorry. I see your order was marked 'out for delivery' yesterday but never got a final scan. I've flagged it with the courier for priority re-delivery. Realistically you should expect it today or tomorrow. I'm setting a reminder on my end to check back in 24 hours — if it still hasn't arrived by then, I'll reach out to you directly with next steps rather than making you chase us again.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Can I change the delivery address? I entered the wrong house during checkout.'}
 {'role': 'assistant', 'content': ""I can help with that. Your order hasn't shipped yet, so we're in good shape — what's the correct address? Once you give it to me I'll update it right away and send you a confirmation email. Quick heads up: if you ever catch something like this after shipping, a reroute is still possible but adds 1–2 days to delivery.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""Tracking shows the package was delivered, but I haven't received anything. What should I do?""}
 {'role': 'assistant', 'content': ""I understand how concerning that is. A couple of things to check first: sometimes drivers mark 'delivered' when they're still a few stops away, and packages occasionally end up at a side door or with a neighbor. If you've already looked around and it's genuinely not there, let me know and I'll file a missing package claim with the carrier immediately. We don't make you wait — once the claim is filed, I can either send a replacement or issue a refund, whichever you prefer.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'How much does expedited shipping cost? Is there free shipping for orders over a certain amount?'}
 {'role': 'assistant', 'content': ""Standard shipping is free on orders over $50. For expedited options: express (2–3 business days) typically runs $7–12 depending on weight and destination, and next-day is $15–20. You'll see the exact price at checkout once you enter your zip code. Anything else I can help with?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""Is it possible to postpone the delivery date? I won't be home.""}
 {'role': 'assistant', 'content': ""Yes — what date works best for you? If the package hasn't left the warehouse yet, I can adjust the ship date directly. If it's already in transit, I'll request a hold at the local depot so the courier doesn't attempt delivery while you're away. Just give me your preferred date and I'll sort it out.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'My package was delivered to a wrong address; can you redirect it to me?'}
 {'role': 'assistant', 'content': ""I'm sorry that happened. Let me check the delivery details. I can see the carrier logged a different address than what's on your order, so this is on our end. I'm filing a redirect request now. In cases like this, if the redirect doesn't succeed within two business days, we ship a new one — you won't be stuck waiting indefinitely. I'll keep you updated via email as things progress.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': ""How can I return an item that didn't fit me? Do I need to fill out any forms?""}
 {'role': 'assistant', 'content': ""No forms needed. Go to your order history, tap 'Return' next to the item, and pick the reason — a prepaid return label gets generated instantly. Stick it on the package and drop it off at any carrier location. Refund processes within 3–5 business days of us receiving it. One thing to note: items need to be unworn with tags attached. Need help finding the return page?""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'I sent the package back a week ago, when will the money be credited to my account?'}
 {'role': 'assistant', 'content': ""Let me check the tracking on your return. I can see it arrived at our warehouse two days ago and is in the inspection queue. Refunds typically process within 3–5 business days from receipt, so you should see the credit by the end of this week. If it doesn't show up by Friday, message us and I'll escalate it to the finance team directly — no need to wait longer than that.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
"[{'role': 'user', 'content': 'Can I exchange a purchased shirt for another size, and who pays for return shipping?'}
 {'role': 'assistant', 'content': ""Absolutely, and return shipping for size exchanges is on us. Here's how: go to your order history, select the shirt, choose 'Exchange', and pick the new size. We'll email you a prepaid label. Once we receive the original, the new size ships out the same day. The whole process usually takes about a week end-to-end.""}]","{""generation_source"": ""seed"", ""source"": ""seed"", ""seed_example"": true, ""support_style_sanitized"": false, ""manual_style_reviewed"": false}"
